Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6071,46,22,48,239,382,11,7439,100.00%,60.8,437.5,152.93
Quotes,490,15,9,27,62,104,4,194,0.00%,36.9,168.5,20.36
Account,148,15,9,24,57,161,4,165,0.00%,11.1,50.5,22.39
Home,185,19,9,49,85,111,4,207,0.00%,13.7,62.6,26.64
Portfolio,241,16,9,26,63,103,4,193,0.00%,17.7,80.8,23.72
Logout,53,20,12,41,59,109,5,148,0.00%,3.9,17.9,26.49
Buy,33,18,9,37,42,167,4,167,0.00%,2.6,12.1,29.29
WelcomePing JSF,700,6,4,6,9,23,2,418,100.00%,7.1,58.9,25.47
Login JSF,699,24,4,15,214,336,2,424,100.00%,7.1,59.2,69.49
Portfolio JSF,3393,20,4,12,164,346,2,440,100.00%,34.3,286.2,62.89
QuotesPing JSF,7327,6,4,10,15,30,2,469,100.00%,74.1,617.8,19.06
Account JSF,2665,22,4,12,175,355,2,472,100.00%,27.0,225.1,66.70
Quotes JSF,7791,23,4,13,191,358,2,3898,100.00%,78.8,657.2,91.39
WS1 open close,1519,18,4,9,129,334,2,395,100.00%,15.4,.0,60.08
Home JSF,3495,20,4,11,155,341,2,433,100.00%,35.5,295.8,61.86
Update Profile,13,26,12,23,23,193,5,193,0.00%,1.7,7.8,48.27
QuotePing JSF,482,24,4,13,192,375,2,415,100.00%,4.9,40.9,72.96
PortfolioPing JSF,493,15,4,10,21,297,2,415,100.00%,5.0,41.9,52.44
Buy JSF,479,14,5,11,56,222,2,413,100.00%,4.9,40.7,44.60
Update Profile JSF,400,27,4,13,243,378,2,435,100.00%,4.1,34.1,76.46
HomePing JSF,860,7,4,9,16,32,2,342,100.00%,8.8,73.6,20.46
Register Page,14,2,3,4,4,5,1,5,0.00%,1.7,11.0,1.15
Logout JSF,859,24,4,13,215,357,2,419,100.00%,8.8,73.5,72.22
Register,14,112,88,170,170,258,49,258,0.00%,1.7,14.1,54.98
RegisterPing,193,5,4,9,13,29,2,41,100.00%,2.0,16.9,5.27
Register JSF,193,20,4,11,126,341,2,392,100.00%,2.0,16.9,64.10
TOTAL,38810,22,5,26,115,346,1,7439,96.93%,388.5,2999.4,84.51
