Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,3433,339,182,606,1152,3248,18,5479,100.00%,34.3,247.0,546.37
WelcomePing JSF,400,86,31,156,313,1021,4,2587,100.00%,4.0,33.4,215.29
Quotes,469,84,37,140,208,786,6,3202,0.00%,10.1,46.2,217.45
Home,179,66,40,144,184,337,7,461,0.00%,4.3,19.6,70.79
Portfolio,243,71,35,148,236,507,7,1554,0.00%,5.6,25.4,128.46
Login JSF,398,88,37,181,315,893,4,2110,100.00%,4.0,33.4,199.08
QuotesPing JSF,3785,65,30,128,216,504,4,4004,100.00%,38.1,318.1,157.10
Account,153,92,32,161,296,925,6,1950,0.00%,3.4,15.7,214.70
Quotes JSF,4020,84,38,189,285,713,4,3140,100.00%,40.5,337.9,163.87
Home JSF,1911,84,37,194,295,628,4,3374,100.00%,19.3,161.0,175.06
Buy,30,66,32,137,157,369,11,369,0.00%,.8,3.7,75.01
WS1 open close,781,74,26,158,286,1021,4,1883,100.00%,7.9,.0,172.60
Logout,58,198,66,354,674,1308,12,3376,0.00%,1.2,5.3,478.16
Update Profile,18,43,25,81,133,157,9,157,0.00%,1.9,8.8,40.93
Portfolio JSF,1784,85,37,194,301,643,5,3387,100.00%,18.1,150.9,171.47
PortfolioPing JSF,230,96,39,178,297,1486,5,1781,100.00%,2.3,19.5,214.40
Account JSF,1394,84,39,191,277,764,4,2822,100.00%,14.2,118.2,171.28
Register Page,16,17,11,39,45,62,3,62,0.00%,.4,2.3,16.64
Update Profile JSF,192,72,39,142,197,276,6,2139,100.00%,2.0,16.6,160.61
HomePing JSF,475,71,30,133,230,453,4,4260,100.00%,4.9,41.2,229.78
Logout JSF,475,88,35,205,324,942,5,1464,100.00%,4.9,41.1,165.42
Register,16,2676,488,2997,16107,18337,155,18337,0.00%,.3,2.8,5551.24
QuotePing JSF,247,84,35,196,350,723,5,936,100.00%,2.6,21.9,129.60
Buy JSF,246,90,36,182,306,1004,6,3315,100.00%,2.6,21.8,241.48
RegisterPing,106,46,24,108,143,252,5,563,100.00%,1.1,9.6,65.93
Register JSF,106,96,42,232,313,520,8,1607,100.00%,1.1,9.6,177.51
TOTAL,21165,123,45,259,415,1387,3,18337,94.42%,211.8,1617.6,333.37
